Name of the initiative,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Spain carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000131057,0.000136337,0.000132308,0.000135332,0.000129672,0.000122182,0.000111851,0.0001137,0.000111468,0.000102379,0.000102379,0.000107767
Finland carbon tax,0.000993095,0.000996525,0.000953899,0.000971931,0.001058,0.000987259,0.001050629,0.001013414,0.000975996,0.000959113,0.000917124,0.000983967,0.000999523,0.001060065,0.000975336,0.000690883,0.000784255,0.000744718,0.000661011,0.000634901,0.000687575,0.000600263,0.000543291,0.000541341,0.000505832,0.000477495,0.000497042,0.000465168,0.000465033,0.000436466,0.000413043,0.000393603,0.000359088,0.000317514,0.000317514,0.000317514
France carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003729124,0.003772912,0.00376659,0.003729182,0.003542217,0.003444956,0.003230243,0.003331397,0.003202794,0.002911614,0.002911614,0.002984404
Hungary carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00043638,0.000397782,0.00040003,0.000388219,0.000386289,0.000399482,0.000417293,0.000404797,0.000373125,0.000359501,0.000360397,0.000356704,0.000348548,0.0003277,0.0003277,0.0003277
Iceland carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.80E-05,3.59E-05,3.54E-05,3.51E-05,3.30E-05,3.47E-05,3.12E-05,3.21E-05,3.13E-05,3.00E-05,2.98E-05,2.96E-05,2.94E-05,2.76E-05,2.76E-05,2.84E-05
Japan carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023624379,0.02351151,0.022494571,0.02185802,0.021710354,0.021120132,0.020013237,0.019290603,0.018954917,0.018333227,0.017049907,0.015724355,0.015724355,0.015724355
Liechtenstein carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.24E-06,4.03E-06,3.60E-06,3.30E-06,3.39E-06,3.42E-06,2.94E-06,2.94E-06,2.76E-06,2.80E-06,2.57E-06,2.64E-06,2.64E-06,2.57E-06,2.33E-06,2.20E-06,2.20E-06,2.20E-06
Latvia carbon Tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.70E-06,5.65E-06,5.83E-06,5.89E-06,5.57E-06,5.29E-06,5.50E-06,5.12E-06,5.05E-06,4.87E-06,4.78E-06,4.90E-06,4.89E-06,4.76E-06,4.88E-06,4.78E-06,4.72E-06,4.60E-06,4.27E-06,4.14E-06,4.14E-06,4.14E-06
Luxembourg carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000128563,0.000112584,0.000106864,0.000106864,0.000106864
Mexico carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004045592,0.004115868,0.004156592,0.004124594,0.003904526,0.00394845,0.001589871,0.001583786,0.001611411,0.001637632,0.001637632,0.001680657
Baja California carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000163767,0.000163141,0,0,0,0
Durango carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000129066,0
Guanajuato carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000197787,0.000197787,0
Queretaro carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.68E-05,6.79E-05,6.79E-05,0
State of Mexico carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamaulipas carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000370258,0.000376283,0,0
Yucatan carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000115148,0.000117022,0.000117022,0
Zacatecas carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001085,0.000102711,0.000103866,9.96E-05,9.92E-05,0.000100926,0.000102568,0.000102568,0
Netherlands carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39E-05,3.10E-05,2.85E-05,2.85E-05,2.85E-05
Norway carbon tax,0,0.001015977,0.001012361,0.001062602,0.001099,0.001061907,0.001051941,0.001089316,0.001114294,0.001135751,0.001021989,0.001030141,0.001000292,0.001024769,0.000995883,0.000655355,0.000647183,0.00064196,0.000655431,0.000629215,0.000630285,0.000597324,0.000573007,0.000570678,0.000565747,0.000577241,0.000568151,0.000558373,0.000542782,0.000525457,0.000534587,0.000518215,0.000508361,0.000494211,0.000494211,0.000439061
Poland carbon tax,0.003761033,0.003675042,0.003581126,0.00354707,0.00346,0.003380308,0.003418085,0.00331085,0.003043158,0.002930873,0.002752363,0.002689722,0.002606978,0.002568995,0.002468412,0.002391033,0.002403706,0.002321383,0.002259854,0.002190585,0.002184446,0.002104345,0.002052271,0.001984705,0.001896591,0.001910943,0.001957257,0.001991403,0.001942867,0.001847199,0.001836747,0.001885258,0.001834436,0.001648519,0.001648519,0.001648519
Portugal carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000546619,0.000536619,0.000570616,0.00052767,0.000492181,0.000465887,0.000432735,0.000432704,0.000400314,0.000400314,0.000400314
Sweden carbon tax,0,0.000916509,0.000951152,0.000956446,0.000982,0.000949145,0.000992257,0.000919653,0.00091969,0.000900349,0.00083607,0.000827168,0.000836116,0.000806323,0.000761569,0.000687337,0.000672734,0.000630239,0.000611941,0.000573349,0.000595622,0.000539459,0.000509072,0.000483879,0.000468784,0.000470324,0.000466343,0.000452537,0.000420766,0.000416215,0.000422016,0.000418281,0.000385848,0.000370963,0.000370963,0.000370963
Singapore carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001071976,0.001090156,0.001085665,0.001092181,0.001108115,0.001108115,0.000995901
Slovenia carbon tax,0,0,0,0,0,0,0.000313124,0.000320174,0.000316947,0.000304799,0.000293083,0.000316482,0.000323246,0.000308069,0.000303306,0.000296098,0.000289489,0.000279932,0.000285386,0.00026126,0.000250013,0.000231042,0.000221363,0.000216205,0.000197392,0.000200442,0.000207203,0.000207507,0.00020139,0.000193801,0.000187656,0.000180971,0,0.000138002,0.000138002,0.000138908
Ukraine carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002955995,0.002856184,0.002752971,0.002394167,0.002036443,0.002073341,0.001873011,0.001913972,0.001852505,0.001865415,0.001747081,0.001332956,0.001305621,0.001305621,0.001305621
UK Carbon Price Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001488195,0.001371242,0.001334595,0.001267284,0.001217259,0.001167194,0.001116989,0.00105313,0,0,0,0,0
Uruguay CO2 tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65E-05,3.54E-05,3.54E-05,3.93E-05
South Africa carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009640249,0.009005119,0.008761315,0.008410495,0.008083644,0.008083644,0.008083644
Israel carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001171967
Colima carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Luis Potosí carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico City carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morelos carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra carbon tax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.07E-06
