Unique ID,Name of the initiative,Instrument Type,Region,Income group,Metric,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
ETS_US_Oregon,Oregon ETS,ETS,North America,High income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax_PL,Poland carbon tax,Carbon tax,Europe & Central Asia,High income,US$/tCO2e,,,,,0.044052863,0.055319149,0.058072009,,0.043465662,0.041870202,0.041870202,0.036869531,0.036677507,0.051726686,0.057074664,0.068297529,0.067865626,0.079813999,0.103069684,0.075578935,0.087947654,0.091587995,0.087124879,0.085645245,0.092317837,0.07743865,0.077971661,0.073501755,0.085404789,0.078396522,0.071940534,0.078624328,0.076230406,,0.084980879,0.09830298
Tax_PT,Portugal carbon tax,Carbon tax,Europe & Central Asia,High income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.16974711,13.79141638,27.81387335,26.17052003,25.75139389,25.45303292,72.700332
Tax_CA_PE,Prince Edward Island carbon tax,Carbon tax,North America,High income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.99587613,21.10149821,23.8758456,23.9769821,36.94672283,,
ETS_CA_Quebec,Quebec CaT,ETS,North America,High income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,,,,,0,11.69,12.49,12.45,15.08,15.1,15.77,21.75201163,17.94,38.58,29.84,38.59,41.54
ETS_RGGI,RGGI,ETS,North America,High income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,3.87,2.3,2.08,2.13,3.85,3.93,5.9,5.82,3.94,4.3,4.94,5.13,8.69,13.89,15.3882476,17.64,23.32
ETS_JP_Saitama,Saitama ETS,ETS,East Asia & Pacific,High income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,,,119.8178768,116.8594035,86.27116839,67.7834802,37.51563151,13.36898396,13.38688086,5.650249553,5.851638459,5.577244841,5.415651232,3.83797054,1.078813305,0.949241925,0.961281709
ETS_CA_SK,Saskatchewan OBPS,ETS,North America,High income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.8344608,39.96163683,48.03073967,58.94488653,
ETS_CN_Shandong,Shandong ETS,ETS,East Asia & Pacific,Upper middle income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETS_CN_Shanghai,Shanghai pilot ETS,ETS,East Asia & Pacific,Upper middle income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,,,,,0,6.422450937,4.733535176,0.928160386,4.5711798,6.214743283,6.090584029,5.068903872,6.315244849,9.276907593,8.720972556,10.06178044,10.79742447
ETS_CN_Shenzhen,Shenzhen pilot ETS,ETS,East Asia & Pacific,Upper middle income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,,,,,4.635095893,12.9912362,5.983657258,5.666419157,5.3649688,6.7355069,0.552741359,2.384538506,1.12000487,0.641630496,8.769017981,8.95609028,6.533762589
Tax_SG,Singapore carbon tax,Carbon tax,East Asia & Pacific,High income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.693853428,3.51024993,3.713606655,3.6856848,3.767897513,18.47882327,18.61920012
Tax_SL,Slovenia carbon tax,Carbon tax,Europe & Central Asia,High income,US$/tCO2e,,,,,,,,,,0,0,0,0,0,0,0,0,16.6475,19.575,16.5575,16.835,17.67625,19.23264,18.4392,19.8576,18.58464,19.77736,18.49543,21.31533,19.43828,18.91928,20.32058,19.11996,0,18.59577,33.28098
Tax_ZA,South Africa carbon tax,Carbon tax,Sub-Saharan Africa,Upper middle income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.059869921,9.150942752,9.83519223,8.925614268,10.08578223,12.84892173
Tax_ES,Spain carbon tax,Carbon tax,Europe & Central Asia,High income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,,,,,,27.58,21.51,22.864,21.382,24.642,16.854,16.404,17.619,16.578,16.3125,16.1235,16.182
Tax_SE,Sweden carbon tax,Carbon tax,Europe & Central Asia,High income,US$/tCO2e,,,,,43.43382729,46.11732791,55.64830273,49.12047793,46.27603027,44.61863129,42.67589389,51.02286402,60.94316808,89.64907107,120.5298013,128.8039632,118.7863138,132.8571429,168.8257417,126.5822785,145.4797368,166.0735469,163.1198175,165.7407692,167.4210951,129.8114257,137.8291903,126.4915933,141.1550792,127.5344775,119.4323451,136.0995471,129.8881046,125.5565536,123.696076,144.6246989
Tax_CH,Switzerland carbon tax,Carbon tax,Europe & Central Asia,High income,US$/tCO2e,,,,,,,,,,,,,,,,,,,11.91895113,21.03786816,34.21077639,39.01593151,39.86269516,37.81115429,67.94247537,61.95786865,87.58210823,83.91608392,100.3344482,96.46302251,99.44064636,101.4745521,129.8560762,130.8115768,132.122213,136.0389978
ETS_CH,Switzerland ETS,ETS,Europe & Central Asia,High income,US$/tCO2e,,,,,,,,,,,,,,,,,,,0,0,0,25.4538,24.0408,0,55.50475,12.906,10.2888,6.94915,9.24075,8.03374,19.84884,46.10305,65.59362,93.80775,59.173245,64.749576
Tax_MX_TA,Tamaulipas carbon tax,Carbon tax,Latin America & Caribbean,Upper middle income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.10272537,17.25022864,19.6598118,16.6719879
ETS_CN_Tianjin,Tianjin pilot ETS,ETS,East Asia & Pacific,Upper middle income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,,,,,0,5.692405249,4.207767686,3.584246024,1.966332898,1.356088855,1.725268176,2.815275686,3.804364367,4.403346543,4.603625246,4.70885796,5.296901656
ETS_JP_Tokyo,Tokyo CaT,ETS,East Asia & Pacific,High income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,,0,0,116.8594035,86.27116839,67.7834802,37.51563151,13.36898396,13.38688086,6.121103682,5.851638459,5.577244841,4.874086109,4.41898527,5.244231346,36.91496374,4.005340454
Tax_UA,Ukraine carbon tax,Carbon tax,Europe & Central Asia,Upper middle income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012692308,0.013668267,0.015442561,0.368369447,0.384615385,0.35942004,1.025469238,0.820375951,0.767756283,0.730410393
Tax_UK,UK Carbon Price Support,Carbon tax,Europe & Central Asia,High income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,,,,,7.470268,15.894065,26.711392,25.7148,22.4145,25.3107,23.589,22.284,24.795,23.6538,22.2759,22.6188,23.2371
ETS_UK,UK ETS,ETS,Europe & Central Asia,High income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,98.5575,88.1259355,45.061676,57.2278135
Tax_UY,Uruguay CO2 tax,Carbon tax,Latin America & Caribbean,High income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.2954109,155.8683502,167.1738104,158.7647421
ETS_US_Washington,Washington CCA,ETS,North America,High income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.2,25.75,50
Tax_MX_ZA,Zacatecas carbon tax,Carbon tax,Latin America & Caribbean,Upper middle income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.60408076,13.68296034,13.00938237,10.20749802,14.14187867,12.59877439,13.85694094,15.08996638,12.27976246
Tax_AL,Albania carbon tax,Carbon tax,Europe & Central Asia,Upper middle income,US$/tCO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.11135507,13.69190487
